Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Year,Quarter,Week_of_Year,Is_Weekend,Sales_Lag_4,Sales_Rolling_Mean_8,Sales_Change_Pct,Store_mean,Store_median,Store_std,Month_August,Month_December,Month_February,Month_January,Month_July,Month_June,Month_March,Month_May,Month_November,Month_October,Month_September,Day_of_Week_Monday,Day_of_Week_Saturday,Day_of_Week_Sunday,Day_of_Week_Thursday,Day_of_Week_Tuesday,Day_of_Week_Wednesday,Record_ID
1,2010-01-10,1453329.5,0,0.668612,-1.5604674,1.03239,-0.08685817,2010,1,1,True,,1453329.5,,1601845.140877193,1603955.12,89168.47034180317,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,1
1,2010-02-04,1594968.28,0,0.13994771,-1.3548284,1.0106214,-0.10577039,2010,1,5,False,,1524148.8900000001,,1601845.140877193,1603955.12,89168.47034180317,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2
1,2010-02-07,1492418.14,0,1.1643034,-1.4665886,1.0209255,-0.119009,2010,1,5,True,,1513571.9733333334,,1601845.140877193,1603955.12,89168.47034180317,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,3
1,2010-03-09,1540163.53,0,1.1807898,-1.5604674,1.028792,-0.119009,2010,1,10,False,,1520219.8625,,1601845.140877193,1603955.12,89168.47034180317,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,4
1,2010-03-12,1548033.78,0,-0.5744634,-1.3794156,1.0307333,-0.08685817,2010,1,10,False,1453329.5,1525782.6460000002,0.06516366728948952,1601845.140877193,1603955.12,89168.47034180317,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,5
1,2010-04-06,1615524.71,0,1.1522133,-1.3861213,1.0197214,-0.10577039,2010,2,14,False,1594968.28,1540739.6566666665,0.012888300198672153,1601845.140877193,1603955.12,89168.47034180317,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,6
1,2010-05-02,1643690.9,0,-0.9569482,-1.5604674,1.0176747,0.0820926,2010,2,17,True,1492418.14,1555446.9771428572,0.10136084247810073,1601845.140877193,1603955.12,89168.47034180317,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,7
1,2010-05-03,1554806.68,0,-0.72668797,-1.5604674,1.0241623,0.0820926,2010,2,18,False,1540163.53,1555366.94,0.009507529372546397,1601845.140877193,1603955.12,89168.47034180317,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,8
1,2010-05-11,1551659.28,0,-0.05404239,-1.4218845,1.0396601,-0.08685817,2010,2,19,False,1548033.78,1567658.1625,0.0023420031570628996,1601845.140877193,1603955.12,89168.47034180317,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,9
1,2010-06-08,1605491.78,0,1.5077703,-1.5604674,1.0281125,-0.119009,2010,2,23,False,1615524.71,1568973.6,-0.0062103228368447505,1601845.140877193,1603955.12,89168.47034180317,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,10
